id,pro_id,last_dip_qty,elapsed_hours,temperature,humidity,total_sales_qty,total_sales_count,total_purchase_qty,total_purchase_count,qty,variance,abs_variance,change_in_qty,true_label,predicted_label
1,14,5.00,0.0000,19.21,56.19,2.10,5,0.00,0,2.85,0.05,0.05,0.05,evaporation,
2,14,2.85,23.7833,11.23,52.06,0.60,3,0.00,0,2.21,0.04,0.04,0.04,evaporation,
3,14,2.21,24.4667,13.99,58.66,0.84,7,0.20,1,1.57,0.00,0.00,0.00,normal,
4,14,1.57,24.3333,12.62,60.51,0.56,8,0.52,1,1.49,0.04,0.04,0.04,evaporation,
5,14,1.49,23.9667,13.08,48.63,0.38,9,0.00,0,0.45,0.66,0.66,0.66,theft,
6,14,0.45,24.4833,9.83,44.72,0.12,4,0.00,0,0.32,0.01,0.01,0.01,normal,
7,14,0.32,23.9333,5.65,58.62,0.12,7,0.00,0,0.19,0.01,0.01,0.01,normal,
8,14,0.19,24.3333,17.31,64.52,0.02,9,0.00,0,0.16,0.01,0.01,0.01,normal,
9,14,0.16,23.8500,18.05,61.85,0.29,8,1.05,1,0.00,0.92,0.92,0.92,missing_purchase,
10,14,0.00,23.5000,15.84,50.25,0.24,3,0.80,1,0.15,0.41,0.41,0.41,theft,
11,14,0.15,24.3333,19.54,48.46,0.26,2,0.65,1,0.03,0.51,0.51,0.51,theft,
12,14,0.03,24.4000,15.12,53.34,0.08,8,0.22,1,0.16,0.01,0.01,0.01,normal,
13,14,0.16,23.5333,14.26,45.87,0.03,4,0.00,0,0.13,0.00,0.00,0.00,normal,
14,14,0.13,23.9500,19.68,59.01,0.09,3,1.50,1,0.04,1.50,1.50,1.50,missing_purchase,
15,14,0.04,24.2333,9.49,40.72,0.05,7,0.18,1,0.13,0.04,0.04,0.04,evaporation,
16,14,0.13,24.0500,11.18,57.05,0.14,7,0.35,1,0.34,-0.00,0.00,-0.00,normal,
17,14,0.34,23.7500,12.47,54.58,0.30,8,0.69,1,0.04,0.69,0.69,0.69,missing_purchase,
18,14,0.04,23.7667,15.00,62.47,0.05,9,0.21,1,0.21,-0.01,0.01,-0.01,normal,
19,14,0.21,23.9667,19.18,64.69,0.44,5,0.81,1,0.00,0.58,0.58,0.58,missing_purchase,
20,14,0.00,23.9833,17.68,44.98,0.06,4,0.25,1,0.19,0.00,0.00,0.00,normal,
21,14,0.19,23.8667,13.62,64.82,0.50,5,1.47,1,1.17,-0.01,0.01,-0.01,normal,
22,14,1.17,24.4167,15.29,58.62,0.48,5,0.95,1,1.64,0.00,0.00,0.00,normal,
23,14,1.64,23.7333,14.11,48.81,0.48,10,0.00,0,0.57,0.59,0.59,0.59,theft,
24,14,0.57,24.3000,15.81,56.48,0.31,2,0.23,1,0.02,0.47,0.47,0.47,theft,
25,14,0.02,24.1833,5.59,59.72,0.03,6,0.78,1,0.11,0.66,0.66,0.66,theft,
26,14,0.11,23.5833,18.64,48.17,0.04,9,0.16,1,0.17,0.06,0.06,0.06,evaporation,
27,14,0.17,23.8833,12.96,62.84,0.04,8,0.00,0,0.12,0.01,0.01,0.01,normal,
28,14,0.12,23.8000,16.20,48.47,0.06,2,0.68,1,0.29,0.45,0.45,0.45,theft,
29,14,0.29,23.7333,17.90,58.11,0.99,9,1.97,1,0.00,1.27,1.27,1.27,missing_purchase,
30,14,0.00,23.8833,6.35,49.86,0.06,5,0.27,1,0.18,0.03,0.03,0.03,evaporation,
31,14,0.18,24.3667,14.58,49.29,0.25,8,0.62,1,0.15,0.40,0.40,0.40,theft,
32,14,0.15,24.4333,19.15,48.20,0.05,8,0.00,0,0.09,0.01,0.01,0.01,normal,
33,14,0.09,23.8167,14.74,42.92,0.03,8,0.38,1,0.06,0.38,0.38,0.38,missing_purchase,
34,14,0.06,23.6167,6.46,62.18,0.25,9,0.74,1,0.52,0.03,0.03,0.03,evaporation,
35,14,0.52,24.2833,15.90,62.14,0.24,8,0.28,1,0.07,0.49,0.49,0.49,theft,
36,14,0.07,24.5000,19.27,40.82,0.15,8,0.73,1,0.14,0.51,0.51,0.51,theft,
37,14,0.14,23.7500,17.83,42.48,0.40,6,1.47,1,0.00,1.21,1.21,1.21,missing_purchase,
38,14,0.00,23.5500,10.97,44.75,0.27,4,1.29,1,0.98,0.04,0.04,0.04,evaporation,
39,14,0.98,24.1333,19.57,41.26,0.16,3,0.00,0,0.10,0.72,0.72,0.72,theft,
40,14,0.10,23.7167,6.03,59.13,0.20,6,0.40,1,0.30,0.00,0.00,0.00,normal,
41,14,0.30,24.3333,18.51,40.07,0.15,3,1.76,1,0.15,1.76,1.76,1.76,missing_purchase,
42,14,0.15,24.0667,8.76,44.36,0.24,1,0.65,1,0.14,0.42,0.42,0.42,theft,
43,14,0.14,23.8667,16.85,45.95,0.13,3,0.66,1,0.20,0.47,0.47,0.47,theft,
44,14,0.20,23.6333,16.13,53.15,0.27,8,0.60,1,0.08,0.45,0.45,0.45,theft,
45,14,0.08,23.8833,12.70,42.73,0.12,1,0.20,1,0.11,0.05,0.05,0.05,evaporation,
46,14,0.11,24.4667,18.00,53.04,0.12,1,0.16,1,0.09,0.06,0.06,0.06,evaporation,
47,14,0.09,24.4000,11.02,57.15,0.10,2,0.16,1,0.14,0.01,0.01,0.01,normal,
48,14,0.14,23.8333,14.12,41.64,0.11,10,0.66,1,0.14,0.55,0.55,0.55,theft,
49,14,0.14,23.8333,10.71,54.93,0.12,9,0.66,1,0.12,0.56,0.56,0.56,theft,
50,14,0.12,23.6000,16.90,42.86,0.11,9,0.15,1,0.10,0.06,0.06,0.06,evaporation,
51,14,0.10,23.7167,11.45,62.20,0.16,8,0.70,1,0.15,0.49,0.49,0.49,theft,
52,14,0.15,24.2667,6.43,50.67,0.28,3,1.43,1,0.00,1.30,1.30,1.30,missing_purchase,
53,14,0.00,24.2167,18.84,41.68,0.30,2,0.80,1,0.06,0.44,0.44,0.44,theft,
54,14,0.06,24.2833,16.08,60.29,0.07,9,0.19,1,0.18,0.00,0.00,0.00,normal,
55,14,0.18,24.2000,6.83,48.84,0.25,7,0.62,1,0.03,0.52,0.52,0.52,theft,
56,14,0.03,24.2667,5.77,47.19,0.06,9,0.83,1,0.00,0.80,0.80,0.80,missing_purchase,
57,14,0.00,23.7167,7.32,52.05,0.29,9,1.74,1,0.00,1.45,1.45,1.45,missing_purchase,
58,14,0.00,23.8833,6.72,46.96,0.19,10,0.70,1,0.48,0.03,0.03,0.03,evaporation,
59,14,0.48,24.1833,13.35,55.22,0.16,1,0.00,0,0.33,-0.01,0.01,-0.01,normal,
60,14,0.33,24.2333,27.15,53.43,0.12,3,0.90,1,0.21,0.90,0.90,0.90,missing_purchase,
61,14,0.21,24.1000,25.89,36.39,0.78,2,1.56,1,0.00,0.99,0.99,0.99,missing_purchase,
62,14,0.00,24.2833,24.37,42.52,0.17,3,0.80,1,0.15,0.48,0.48,0.48,theft,
63,14,0.15,24.2667,21.89,53.83,0.11,3,0.12,1,0.10,0.06,0.06,0.06,evaporation,
64,14,0.10,24.1500,18.60,36.63,0.06,10,0.15,1,0.19,0.00,0.00,0.00,normal,
65,14,0.19,23.7833,20.59,45.25,0.07,10,0.89,1,0.12,0.89,0.89,0.89,missing_purchase,
66,14,0.12,24.0167,24.32,41.17,0.35,1,0.67,1,0.00,0.44,0.44,0.44,missing_purchase,
67,14,0.00,23.5000,20.45,53.91,0.09,5,0.25,1,0.16,0.00,0.00,0.00,normal,
68,14,0.16,23.5000,23.97,43.61,0.17,4,0.52,1,0.00,0.51,0.51,0.51,missing_purchase,
69,14,0.00,24.0333,24.70,48.36,0.17,1,0.90,1,0.00,0.73,0.73,0.73,missing_purchase,
70,14,0.00,23.9500,18.22,53.42,0.07,10,0.25,1,0.18,0.00,0.00,0.00,normal,
71,14,0.18,24.1667,23.01,37.30,0.03,6,0.62,1,0.31,0.46,0.46,0.46,theft,
72,14,0.31,24.5000,25.42,51.64,0.03,2,0.00,0,0.28,0.00,0.00,0.00,normal,
73,14,0.28,24.1167,22.81,36.57,0.32,6,0.52,1,0.06,0.42,0.42,0.42,theft,
74,14,0.06,24.3167,20.02,45.21,0.36,6,0.81,1,0.45,0.06,0.06,0.06,evaporation,
75,14,0.45,24.3667,25.75,37.95,0.09,3,0.46,1,0.73,0.09,0.09,0.09,evaporation,
